Time,Float_Position,Float_Angle,Posit_Position,Posit_Angle,Quire_Position,Quire_Angle
1.24,-0.0768369,-0.0104241,-0.0768369,-0.0104241,-0.0768369,-0.0104241
1.26,-0.0770764,-0.0102687,-0.0770763,-0.0102687,-0.0770763,-0.0102687
1.28,-0.077287,-0.0101114,-0.077287,-0.0101114,-0.077287,-0.0101114
1.3,-0.0774694,-0.0099526,-0.0774693,-0.0099526,-0.0774693,-0.0099526
1.32,-0.077624,-0.00979244,-0.077624,-0.00979244,-0.077624,-0.00979244
1.34,-0.0777513,-0.00963119,-0.0777513,-0.00963119,-0.0777513,-0.00963119
1.36,-0.077852,-0.00946905,-0.077852,-0.00946905,-0.077852,-0.00946905
1.38,-0.0779264,-0.00930622,-0.0779264,-0.00930622,-0.0779264,-0.00930622
1.4,-0.0779752,-0.00914287,-0.0779752,-0.00914287,-0.0779752,-0.00914287
1.42,-0.0779988,-0.00897917,-0.0779988,-0.00897917,-0.0779988,-0.00897917
1.44,-0.0779977,-0.00881525,-0.0779977,-0.00881525,-0.0779977,-0.00881525
1.46,-0.0779725,-0.00865126,-0.0779725,-0.00865126,-0.0779725,-0.00865126
1.48,-0.0779236,-0.00848732,-0.0779236,-0.00848732,-0.0779236,-0.00848732
1.5,-0.0778515,-0.00832354,-0.0778515,-0.00832354,-0.0778515,-0.00832354
1.52,-0.0777567,-0.00816002,-0.0777567,-0.00816002,-0.0777567,-0.00816002
1.54,-0.0776397,-0.00799686,-0.0776397,-0.00799686,-0.0776397,-0.00799686
1.56,-0.0775011,-0.00783415,-0.0775011,-0.00783415,-0.0775011,-0.00783415
1.58,-0.0773412,-0.00767197,-0.0773412,-0.00767197,-0.0773412,-0.00767197
1.6,-0.0771606,-0.00751039,-0.0771606,-0.00751038,-0.0771606,-0.00751038
1.62,-0.0769597,-0.00734948,-0.0769597,-0.00734948,-0.0769597,-0.00734948
1.64,-0.076739,-0.0071893,-0.076739,-0.0071893,-0.076739,-0.0071893
1.66,-0.076499,-0.00702993,-0.076499,-0.00702993,-0.076499,-0.00702993
1.68,-0.0762401,-0.0068714,-0.0762401,-0.0068714,-0.0762401,-0.0068714
1.7,-0.0759628,-0.00671378,-0.0759628,-0.00671378,-0.0759628,-0.00671378
1.72,-0.0756676,-0.00655711,-0.0756676,-0.00655711,-0.0756676,-0.00655711
1.74,-0.0753549,-0.00640144,-0.0753549,-0.00640144,-0.0753549,-0.00640144
1.76,-0.0750252,-0.00624681,-0.0750251,-0.00624681,-0.0750251,-0.00624681
1.78,-0.0746788,-0.00609325,-0.0746788,-0.00609325,-0.0746788,-0.00609325
1.8,-0.0743163,-0.00594081,-0.0743163,-0.00594081,-0.0743163,-0.00594081
1.82,-0.0739381,-0.00578952,-0.0739381,-0.00578952,-0.0739381,-0.00578952
1.84,-0.0735446,-0.00563941,-0.0735446,-0.00563941,-0.0735446,-0.00563941
1.86,-0.0731363,-0.00549052,-0.0731363,-0.00549052,-0.0731363,-0.00549052
1.88,-0.0727135,-0.00534286,-0.0727135,-0.00534286,-0.0727135,-0.00534286
1.9,-0.0722767,-0.00519647,-0.0722767,-0.00519647,-0.0722767,-0.00519647
1.92,-0.0718264,-0.00505138,-0.0718264,-0.00505138,-0.0718264,-0.00505138
1.94,-0.0713629,-0.0049076,-0.0713628,-0.0049076,-0.0713628,-0.0049076
1.96,-0.0708866,-0.00476516,-0.0708865,-0.00476516,-0.0708865,-0.00476516
1.98,-0.0703979,-0.00462408,-0.0703979,-0.00462408,-0.0703979,-0.00462408
2,-0.0698973,-0.00448438,-0.0698973,-0.00448438,-0.0698973,-0.00448438
2.02,-0.0693851,-0.00434608,-0.0693851,-0.00434608,-0.0693851,-0.00434608
2.04,-0.0688618,-0.00420919,-0.0688617,-0.00420919,-0.0688617,-0.00420919
2.06,-0.0683276,-0.00407374,-0.0683276,-0.00407374,-0.0683276,-0.00407374
